raw,monotone,lisse,reciproque,verif
-1.978289842,-1.720201,-1.720201,-1.978290,-1.607158
-1.934142231,-1.720201,-1.720201,-1.934142,-1.570374
-1.859078645,-1.720201,-1.720201,-1.859079,-1.120470
-2.027860879,-1.720201,-1.720201,-2.027861,-1.643995
-1.709967374,-1.720201,-1.720201,-1.709967,-0.703840
-1.950987815,-1.720201,-1.720201,-1.950988,-1.588099
-1.752246499,-1.719503,-1.719503,-1.752246,-1.055171
-1.952084302,-1.718575,-1.718575,-1.952084,-1.588864
-1.889855504,-1.717278,-1.717278,-1.889856,-1.140736
-1.882704257,-1.715945,-1.715945,-1.882704,-1.135861
-1.889903187,-1.714354,-1.714354,-1.889903,-1.140768
-1.980397343,-1.712569,-1.712569,-1.980397,-1.608629
-1.667107462,-1.710303,-1.710303,-1.667107,-0.621091
-1.850548744,-1.708036,-1.708036,-1.850549,-1.115008
-1.924394249,-1.705769,-1.705769,-1.924394,-1.524973
-1.920586585,-1.703434,-1.703434,-1.920587,-1.455058
-1.862088084,-1.700942,-1.700942,-1.862088,-1.122413
-1.854439735,-1.697795,-1.697795,-1.854440,-1.117499
-1.927718639,-1.694536,-1.694536,-1.927719,-1.552095
-1.800544142,-1.690682,-1.690682,-1.800544,-1.084067
-1.71729052,-1.686603,-1.686603,-1.717291,-0.863366
-1.19799149,-1.682524,-1.682524,-1.197991,-0.119953
-0.43827641,-1.678445,-1.678445,-0.438276,0.451932
-1.897317409,-1.674366,-1.674366,-1.897317,-1.145988
-1.026326417,-1.670287,-1.670287,-1.026326,-0.084387
-1.669378042,-1.666906,-1.666906,-1.669378,-0.625274
-1.818630218,-1.663754,-1.663754,-1.818630,-1.094764
-1.877040863,-1.660973,-1.660973,-1.877041,-1.132069
-1.789329528,-1.658227,-1.658227,-1.789330,-1.077453
-1.820336461,-1.655739,-1.655739,-1.820336,-1.095783
-1.806157827,-1.653444,-1.653444,-1.806158,-1.087378
-1.714094877,-1.651632,-1.651632,-1.714095,-0.725396
-1.876522779,-1.649820,-1.649820,-1.876523,-1.131735
-1.826949954,-1.648007,-1.648007,-1.826950,-1.099932
-1.863533616,-1.646263,-1.646263,-1.863534,-1.123346
-1.625906586,-1.644538,-1.644538,-1.625907,-0.479571
-1.813928008,-1.643468,-1.643468,-1.813928,-1.091960
-1.712915658,-1.642321,-1.642321,-1.712916,-0.713149
-1.71937263,-1.641631,-1.641631,-1.719373,-0.953259
-1.780974149,-1.641076,-1.641076,-1.780974,-1.072525
-1.428160786,-1.640192,-1.640192,-1.428161,-0.296640
-1.780557751,-1.639309,-1.639309,-1.780558,-1.072280
-1.718731641,-1.638426,-1.638426,-1.718732,-0.925585
-1.688063263,-1.636899,-1.636899,-1.688063,-0.654144
-1.824779868,-1.635150,-1.635150,-1.824780,-1.098566
-1.659001231,-1.632916,-1.632916,-1.659001,-0.604478
-1.774310588,-1.630682,-1.630682,-1.774311,-1.068595
-1.802605509,-1.627902,-1.627902,-1.802606,-1.085283
-1.731309533,-1.623535,-1.623535,-1.731310,-1.035960
-1.595322489,-1.618485,-1.618485,-1.595322,-0.443433
-1.132754802,-1.612877,-1.612877,-1.132755,-0.105008
-1.683523178,-1.607269,-1.607269,-1.683523,-0.647165
-1.125665068,-1.601660,-1.601660,-1.125665,-0.103552
-1.563490509,-1.596052,-1.596052,-1.563491,-0.410111
-1.712214946,-1.590582,-1.590582,-1.712215,-0.710937
-1.659285187,-1.585056,-1.585056,-1.659285,-0.605106
-1.663236975,-1.579216,-1.579216,-1.663237,-0.613840
-1.686954498,-1.573192,-1.573192,-1.686954,-0.652440
-1.662526726,-1.566264,-1.566264,-1.662527,-0.612270
